title,url,company,description
Python разработчик,https://ekaterinburg.hh.ru/vacancy/35140830?query=python, QIWI,"Проектирование и разработка микросервисов на базе Python. Реализация API (REST, JSON-RPC) для микросервисов. Реализация бизнес-логики на основе DDD... Знание Python (2 и 3). Опыт промышленной разработки на Python от года. Алгоритмы и структуры данных. Навык оценки сложности алгоритма..."
Python-разработчик,https://ekaterinburg.hh.ru/vacancy/34996134?query=python, Кадровик,Разработка проектов с нуля. Развитие и поддержка этих проектов. Знание Python 3. Желателен английский на уровне чтения технической документации. Желателен опыт работы в команде.
Junior Python-разработчик,https://ekaterinburg.hh.ru/vacancy/35259045?query=python, NAUMEN,Поддержка backend компонент Naumen Сontact Сenter. Разработка новых функциональных возможностей. Разработка новых компонентов. Опыт разработки на Python. Знание классических алгоритмов и структур данных. Умение разбираться в чужом коде. Опыт работы с SQLAlchemy. 
Разработчик Python/Go,https://ekaterinburg.hh.ru/vacancy/35425505?query=python,"ПАО МегаФон, IT","Создание и поддержка инструментов автоматизации процессов развертывания инфраструктуры тестовых и промышленных сред. Создание и поддержка внутренних инструментов управления ИТ инфраструктурой... Ответственность и достаточная самостоятельность. Английский на уровне свободного чтения технической документации. Python / Golang, PostgreSQL / Clickhouse / Redis, Service mesh, Docker / Kubernetes..."
Python разработчик,https://ekaterinburg.hh.ru/vacancy/35536333?query=python, IT-People.ru,"поддержка клиентской и серверной частей игры на Python. От вас: Знание Python или желание с ним работать, опыт работы от 1 года. Понимание принципов ООП. Хорошая алгоритмическая база. "
Разработчик Python/Django в Сочи,https://ekaterinburg.hh.ru/vacancy/35185237?query=python,ООО Колл-Тулз,"Разработка back-end части (в основном). Опыт разработки на Python. Базовые знания Linux. Понимание, как писать оптимальные запросы к БД. JQuery. Желание учиться и развиваться. "
Python-разработчик,https://ekaterinburg.hh.ru/vacancy/35259028?query=python, NAUMEN,Поддержка backend компонент Naumen Сontact Сenter. Разработка новых функциональных возможностей. Разработка новых компонентов. Опыт ежедневной разработки на Python от 2 лет. Знание классических алгоритмов и структур данных. Умение разбираться в чужом коде. 
Аналитик данных (middle),https://ekaterinburg.hh.ru/vacancy/35177110?query=python, Site&Seo,"Организовать сбор данных средствами python из Я.Метрики, Google Analytics, Search Console и других систем. Организовать хранение данных. Организовать представление данных.  Писать и оптимизировать SQL запросы. Обработка данных на python или на языке R. Уметь пользоваться сводными таблицами, группировкой. "
Junior Python Developer,https://ekaterinburg.hh.ru/vacancy/35314037?query=python, Крона-КС,"Доработка и развитие наших облачных сервисов (фронт, бэк, мобильное приложение под iOS и Android), написание unit-тестов, участие в разработке... Знание Python. Понимание основных структур данных. Активное стремление профессионально развиваться и строить успешную карьеру в области разработки инновационного ПО. "
Middle Python Developer,https://ekaterinburg.hh.ru/vacancy/34470521?query=python, DataArt,"Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... Опыт программирования на Python не менее 2-х лет. Опыт коммерческой разработки. Базовое знание SQL. Базовое знание JavaScript, Bootstrap. "
Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/35447762?query=python, DataArt,"Обучение английскому языку: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах технологических... Опыт программирования на Python не менее 3-х лет. Знание Python-веб-фреймворков Django, Flask. Знание JavaScript, HTML5 и..."
